k,Euclidean,Manhattan,Minkowski (p=1.5),Chebyshev,Cosine
1,0.912588592642592,0.9102261221734729,0.911238609517381,0.9105636179547756,0.912588592642592
3,0.8943638204522444,0.8963887951400608,0.8950388120148498,0.896051299358758,0.8940263246709416
5,0.8896388795140061,0.8933513331083361,0.8913263584205198,0.8906513668579142,0.8899763752953088
7,0.8903138710766115,0.8906513668579142,0.8899763752953088,0.8862639217009788,0.8909888626392171
9,0.8909888626392171,0.8906513668579142,0.8909888626392171,0.8855889301383733,0.8906513668579142
11,0.8872764090448869,0.8893013837327033,0.8862639217009788,0.885926425919676,0.8872764090448869
13,0.8849139385757678,0.8852514343570705,0.8842389470131623,0.8855889301383733,0.8835639554505569
15,0.8855889301383733,0.8889638879514006,0.885926425919676,0.8842389470131623,0.8855889301383733
17,0.8862639217009788,0.8886263921700979,0.885926425919676,0.8842389470131623,0.8855889301383733
19,0.8869389132635842,0.8879514006074924,0.8876139048261896,0.8835639554505569,0.8866014174822815
21,0.8855889301383733,0.8862639217009788,0.8855889301383733,0.8815389807627405,0.8832264596692542
23,0.8825514681066486,0.8828889638879514,0.8828889638879514,0.8815389807627405,0.8825514681066486
25,0.8805264934188323,0.8791765102936213,0.8801889976375296,0.8774890313871077,0.8785015187310159
27,0.8815389807627405,0.8781640229497131,0.8798515018562268,0.8778265271684104,0.8798515018562268
29,0.8805264934188323,0.880863989200135,0.879514006074924,0.8788390145123186,0.8801889976375296
31,0.8801889976375296,0.8798515018562268,0.8785015187310159,0.8778265271684104,0.879514006074924
33,0.8815389807627405,0.8798515018562268,0.8798515018562268,0.8791765102936213,0.880863989200135
35,0.879514006074924,0.8781640229497131,0.8812014849814377,0.8771515356058049,0.8788390145123186
37,0.8805264934188323,0.8778265271684104,0.8815389807627405,0.8778265271684104,0.8791765102936213
39,0.8798515018562268,0.8805264934188323,0.8798515018562268,0.8771515356058049,0.8771515356058049
41,0.8791765102936213,0.8801889976375296,0.879514006074924,0.8785015187310159,0.8768140398245022
43,0.8791765102936213,0.8798515018562268,0.8801889976375296,0.8768140398245022,0.8781640229497131
45,0.8778265271684104,0.8781640229497131,0.8788390145123186,0.8751265609179886,0.8785015187310159
47,0.8771515356058049,0.8768140398245022,0.8774890313871077,0.8727640904488694,0.8768140398245022
49,0.8771515356058049,0.875801552480594,0.8791765102936213,0.8690516368545393,0.8768140398245022
51,0.875801552480594,0.8747890651366858,0.8768140398245022,0.869389132635842,0.8751265609179886
53,0.8764765440431994,0.8768140398245022,0.8761390482618967,0.8683766452919338,0.8751265609179886
55,0.874451569355383,0.8761390482618967,0.8747890651366858,0.8666891663854202,0.8727640904488694
57,0.8727640904488694,0.8751265609179886,0.8717516031049611,0.8653391832602092,0.8710766115423557
59,0.8724265946675667,0.8764765440431994,0.8737765777927776,0.8670266621667229,0.8697266284171448
61,0.8704016199797503,0.8771515356058049,0.872089098886264,0.8663516706041174,0.8704016199797503
63,0.8717516031049611,0.8761390482618967,0.870739115761053,0.8677016537293284,0.8700641241984475
65,0.8700641241984475,0.8754640566992913,0.8704016199797503,0.8677016537293284,0.8700641241984475
67,0.8714141073236584,0.8754640566992913,0.8700641241984475,0.8680391495106311,0.8717516031049611
69,0.8710766115423557,0.8741140735740803,0.8700641241984475,0.8673641579480257,0.8697266284171448
71,0.8714141073236584,0.874451569355383,0.870739115761053,0.8680391495106311,0.8717516031049611
73,0.8724265946675667,0.8754640566992913,0.870739115761053,0.8683766452919338,0.8724265946675667
75,0.8727640904488694,0.8761390482618967,0.8710766115423557,0.8683766452919338,0.870739115761053
77,0.872089098886264,0.8774890313871077,0.8714141073236584,0.8700641241984475,0.8714141073236584
79,0.8714141073236584,0.8778265271684104,0.8717516031049611,0.8710766115423557,0.8710766115423557
81,0.8714141073236584,0.8761390482618967,0.8714141073236584,0.8673641579480257,0.8700641241984475
83,0.8697266284171448,0.874451569355383,0.8717516031049611,0.8646641916976038,0.8704016199797503
85,0.8700641241984475,0.8751265609179886,0.8717516031049611,0.8639892001349984,0.8700641241984475
87,0.869389132635842,0.8747890651366858,0.8687141410732366,0.8646641916976038,0.8690516368545393
89,0.8680391495106311,0.8741140735740803,0.8670266621667229,0.8636517043536955,0.8680391495106311
91,0.8683766452919338,0.8731015862301721,0.8677016537293284,0.8633142085723928,0.8663516706041174
93,0.8670266621667229,0.8717516031049611,0.8690516368545393,0.8623017212284847,0.8650016874789065
95,0.8680391495106311,0.8697266284171448,0.8680391495106311,0.8626392170097874,0.8646641916976038
97,0.8673641579480257,0.8710766115423557,0.869389132635842,0.8619642254471819,0.8646641916976038
99,0.8690516368545393,0.869389132635842,0.8687141410732366,0.8616267296658792,0.865676679041512
101,0.8683766452919338,0.8700641241984475,0.8677016537293284,0.8612892338845765,0.8650016874789065
103,0.8660141748228147,0.8690516368545393,0.8673641579480257,0.8616267296658792,0.8653391832602092
105,0.865676679041512,0.8683766452919338,0.8673641579480257,0.8623017212284847,0.8636517043536955
107,0.8650016874789065,0.8687141410732366,0.865676679041512,0.8619642254471819,0.865676679041512
109,0.8653391832602092,0.8700641241984475,0.8663516706041174,0.8609517381032737,0.8639892001349984
111,0.8643266959163011,0.8687141410732366,0.865676679041512,0.8592642591967601,0.8629767127910901
113,0.8639892001349984,0.8690516368545393,0.8650016874789065,0.8606142423219709,0.8629767127910901
115,0.8643266959163011,0.8690516368545393,0.865676679041512,0.8619642254471819,0.8653391832602092
117,0.8609517381032737,0.8697266284171448,0.8670266621667229,0.8592642591967601,0.8650016874789065
119,0.8626392170097874,0.8697266284171448,0.8653391832602092,0.8609517381032737,0.8639892001349984
121,0.8633142085723928,0.869389132635842,0.8666891663854202,0.8592642591967601,0.8626392170097874
123,0.8629767127910901,0.8673641579480257,0.8646641916976038,0.8596017549780628,0.8609517381032737
125,0.8629767127910901,0.8666891663854202,0.8626392170097874,0.8579142760715491,0.8606142423219709
127,0.8612892338845765,0.8677016537293284,0.8626392170097874,0.8575767802902464,0.8596017549780628
129,0.8599392507593655,0.8660141748228147,0.8629767127910901,0.8572392845089436,0.8579142760715491
131,0.8602767465406682,0.8660141748228147,0.8623017212284847,0.8555518056024299,0.8585892676341546
133,0.8602767465406682,0.8673641579480257,0.8629767127910901,0.8562267971650355,0.8582517718528518
135,0.8596017549780628,0.8646641916976038,0.8609517381032737,0.8575767802902464,0.8585892676341546
137,0.8569017887276409,0.8650016874789065,0.8592642591967601,0.8555518056024299,0.8565642929463382
139,0.8575767802902464,0.8643266959163011,0.8585892676341546,0.8521768477894026,0.8545393182585218
141,0.8525143435707053,0.8636517043536955,0.8575767802902464,0.8525143435707053,0.8535268309146136
143,0.8528518393520081,0.8629767127910901,0.8575767802902464,0.8481268984137699,0.8555518056024299
145,0.8528518393520081,0.8606142423219709,0.8575767802902464,0.8434019574755316,0.8558893013837326
147,0.8518393520080999,0.8612892338845765,0.8562267971650355,0.844076949038137,0.8538643266959163
149,0.8481268984137699,0.8616267296658792,0.8558893013837326,0.844076949038137,0.8521768477894026
151,0.8488018899763753,0.8626392170097874,0.8548768140398245,0.8444144448194397,0.8515018562267972
153,0.8474519068511643,0.8616267296658792,0.8545393182585218,0.8484643941950726,0.8531893351333109
155,0.8464394195072562,0.8612892338845765,0.8555518056024299,0.8467769152885589,0.8538643266959163
157,0.8450894363820453,0.8619642254471819,0.8548768140398245,0.8444144448194397,0.8498143773202835
159,0.845426932163348,0.8596017549780628,0.8531893351333109,0.8430644616942288,0.850489368882889
161,0.8447519406007425,0.8602767465406682,0.8538643266959163,0.8417144785690179,0.8494768815389807
163,0.844076949038137,0.8599392507593655,0.8535268309146136,0.8420519743503206,0.8501518731015862
165,0.844076949038137,0.8585892676341546,0.8538643266959163,0.8420519743503206,0.8498143773202835
167,0.8437394532568343,0.8596017549780628,0.8535268309146136,0.8420519743503206,0.8498143773202835
169,0.8413769827877151,0.8565642929463382,0.8515018562267972,0.8400269996625043,0.8457644279446507
171,0.8410394870064124,0.8569017887276409,0.8508268646641917,0.8386770165372933,0.845426932163348
173,0.8410394870064124,0.8575767802902464,0.8501518731015862,0.8380020249746878,0.8461019237259534
175,0.8410394870064124,0.8565642929463382,0.850489368882889,0.8349645629429632,0.8464394195072562
177,0.8400269996625043,0.8579142760715491,0.8488018899763753,0.8359770502868714,0.8457644279446507
179,0.8410394870064124,0.8575767802902464,0.850489368882889,0.8363145460681741,0.8461019237259534
181,0.8400269996625043,0.8579142760715491,0.849139385757678,0.8363145460681741,0.8447519406007425
183,0.8396895038812014,0.8548768140398245,0.8484643941950726,0.8376645291933851,0.8444144448194397
185,0.8400269996625043,0.8538643266959163,0.8474519068511643,0.8346270671616605,0.8450894363820453
187,0.8380020249746878,0.8535268309146136,0.8461019237259534,0.833952075599055,0.8457644279446507
189,0.8380020249746878,0.8548768140398245,0.8467769152885589,0.8326020924738441,0.845426932163348
191,0.8376645291933851,0.854201822477219,0.8471144110698616,0.8319271009112386,0.8464394195072562
193,0.8386770165372933,0.8538643266959163,0.8457644279446507,0.8332770840364495,0.845426932163348
195,0.8373270334120824,0.8535268309146136,0.8457644279446507,0.8329395882551468,0.8447519406007425
